Brand,Model,Type,Price_Range,Image_Url,cc_value
Kawasaki,Kawasaki Ninja 300,Petrol,3.17 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/kawasaki-ninja/source/kawasaki-ninja68a70e22cbeaf.jpg,296
Kawasaki,Kawasaki Ninja ZX-6R,Petrol,12.49 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/ninja-zx-6r/source/ninja-zx-6r68b55b945809c.jpg,636
Kawasaki,Kawasaki Ninja 650,Petrol,7.77 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/2020-ninja-650/source/2020-ninja-650685528015cb20.jpg,649
Kawasaki,Kawasaki Ninja H2 SX,Petrol,35.18 - 36.28 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/ninja-h2-sx/source/ninja-h2-sx68dfc840436ae.jpg,998
Kawasaki,Kawasaki KLX230,Petrol,1.84 - 2.99 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/klx230-s/source/klx230-s689c8d5626aa0.jpg,233
Kawasaki,Kawasaki Ninja ZX-4R,Petrol,9.40 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/ninja-zx4r/source/ninja-zx4r650004a8dec54.jpg,399
Kawasaki,Kawasaki Vulcan S,Petrol,7.59 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/kawasaki-vulcan-s/source/kawasaki-vulcan-s674063fadb112.jpg,649
Kawasaki,Kawasaki W175,Petrol,1.13 - 1.25 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/w175/source/w1756862649d4f2cc.jpg,177
Kawasaki,Kawasaki Eliminator,Petrol,6.16 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/eliminator-400/source/eliminator-40065950d19e90a4.jpg,451
Kawasaki,Kawasaki Z650,Petrol,7.26 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/2020-z650/source/2020-z650674023f38d03b.jpg,649
Kawasaki,Kawasaki Versys X 300,Petrol,3.49 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/versys-x300/source/versys-x300682ebbb647c39.jpg,296
Kawasaki,Kawasaki Ninja 500,Petrol,5.66 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/ninja-500/source/ninja-500678a6d2acc577.jpg,451
Kawasaki,Kawasaki Versys 650,Petrol,8.48 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/kawasaki-versys-650/source/kawasaki-versys-650683417276f22d.jpg,649
Kawasaki,Kawasaki Z650RS,Petrol,7.69 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/z650rs/source/z650rs6805fe280cb09.jpg,649
Kawasaki,Kawasaki KLX230RS,Petrol,1.79 - 4.81 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/klx230rs/source/klx230rs689c727ca9577.jpg,233
Kawasaki,Kawasaki KX 85,Petrol,3.88 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/kx-85/source/kx-856746b640b917b.jpg,84
Kawasaki,Kawasaki KX 250,Petrol,7.79 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/kx-250-f/source/kx-250-f68e36584c00d7.jpg,249
Kawasaki,Kawasaki KX65,Petrol,2.88 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/kx-65/source/kx-6568dfbdc11f443.jpg,64
Kawasaki,Kawasaki KLX110R L,Petrol,2.88 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/kawasaki-klx-110/source/kawasaki-klx-110660e872f9f2dd.jpg,112
Kawasaki,Kawasaki Z H2,Petrol,25.85 - 30.56 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/zh2/source/zh26746b1799472e.jpg,998
Kawasaki,Kawasaki Ninja 1100SX,Petrol,14.42 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/ninja-1100sx/source/ninja-1100sx6762bb4df0c85.jpg,1099
Kawasaki,Kawasaki KLX 140R F,Petrol,3.79 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/klx-140-g/source/klx-140-g660e894437721.jpg,144
Kawasaki,Kawasaki KLX 450R,Petrol,9.61 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/klx-450r/source/klx-450r64f824e830f6f.jpg,449
